hruid2017,Total_count,Total_pop,rate
11,155,77268,200.600507325154
12,137,78263,175.05079028404228
13,589,363333,162.1102404681105
14,390,226382,172.27518088893993
21,460,299597,153.53958818012197
22,976,661173,147.61643321793235
23,1127,821106,137.25389900938492
31,254,214596,118.36194523663069
32,1054,671001,157.07875249068184
33,485,285956,169.606512890095
41,653,387213,168.6410321967496
42,499,272940,182.82406389682714
43,235,122511,191.8195100848087
51,140,70726,197.9470067584764
52,253,137825,183.5661164520225
53,156,67768,230.19714319442807
