Postal_code,max_temp,min_temp,exposure
V0C1E0,2.912876712,-8.122410959,1
V0C1W0,3.918465753,-7.653616438,1
V0C2X0,4.008410959,-7.933753425,1
V0C2Z0,4.316191781,-6.887205479,1
V0T1W0,4.329506849,-3.653068493,1
V0W1A0,4.508465753,-4.919616438,1
V0C1L0,4.580219178,-6.141369863,1
V0J1K0,4.711342466,-5.33660274,1
V0B1A1,4.912246575,-4.423013699,1
V0B1T6,4.912246575,-4.423013699,1
V0C1Z0,4.942712329,-7.031643836,1
V0J1Y3,5.325643836,-5.555452055,1
V0C1R0,5.531342466,-5.468958904,1
V0C2B0,5.574958904,-5.959589041,1
V0K1S0,5.836547945,-5.105068493,1
V8G5L5,5.931479452,-2.447068493,0
V0C2V0,6.184630137,-5.216219178,1
V0J3B0,6.337123288,-5.188328767,1
V0C2N0,6.593150685,-4.863178082,1
V0J2H0,6.625315068,-4.838821918,1
V0B2B0,6.688,-2.52290411,0
V0C2S0,6.711917808,-4.658849315,1
V0C2T0,6.877369863,-4.492630137,1
V0C2R0,6.88969863,-4.462,1
V0J3N0,7.095890411,-4.496136986,1
V0K1B0,7.115561644,-3.892191781,1
V0J2W0,7.172,-2.278958904,0
V0C2H0,7.177287671,-4.046109589,1
V0J1T0,7.193945205,-4.419068493,1
V0C2A0,7.19709589,-3.982493151,1
V0C1H0,7.279808219,-3.923452055,1
V1G0C2,7.372164384,-4.11690411,1
V0C1Y0,7.375506849,-3.876684932,1
V1J0J5,7.417780822,-3.711671233,1
V1J5T8,7.426136986,-3.691890411,1
V1J5T7,7.427917808,-3.692410959,1
V1J6A6,7.434876712,-3.71,1
V1J6Z4,7.435835616,-3.709534247,1
V1J4W5,7.438273973,-3.707287671,1
V0C1G0,7.438657534,-3.756383562,1
V1J2X5,7.439232877,-3.708383562,1
V1J4L7,7.439287671,-3.708164384,1
V1J3K4,7.439561644,-3.706273973,1
V1J2X3,7.439589041,-3.707452055,1
V1J3M2,7.439835616,-3.707178082,1
V1J3M1,7.439863014,-3.706794521,1
V1J1V9,7.439945205,-3.686246575,1
V1J2Y1,7.440876712,-3.709808219,1
V1J2X4,7.44109589,-3.707452055,1
V1J2X6,7.441315068,-3.708712329,1
V1J3N4,7.441506849,-3.707945205,1
V1J7E5,7.442027397,-3.708273973,1
V1J2W9,7.442082192,-3.706164384,1
V1J7E3,7.442109589,-3.708356164,1
V1J3N2,7.442356164,-3.707287671,1
V1J3N3,7.442356164,-3.706986301,1
V1J1W1,7.442493151,-3.687150685,1
V1J2X1,7.442767123,-3.706191781,1
V1J7E4,7.443013699,-3.707643836,1
V1J4J8,7.443315068,-3.684712329,1
V1J2X2,7.443890411,-3.707068493,1
V1J6M8,7.444191781,-3.685726027,1
V1J4J9,7.444986301,-3.683808219,1
V1J2W8,7.450054795,-3.699150685,1
V1J2V9,7.450794521,-3.698219178,1
V1J2V8,7.450931507,-3.698027397,1
V1J3M9,7.450958904,-3.699041096,1
V1J3N1,7.451068493,-3.698684932,1
V1J2T7,7.451616438,-3.697369863,1
V1J2T6,7.452082192,-3.697150685,1
V1J6Y9,7.452109589,-3.695506849,1
V1J2W2,7.452219178,-3.698821918,1
V1J2S8,7.452246575,-3.697589041,1
V1J2S7,7.452876712,-3.697287671,1
V1J3R8,7.45290411,-3.699123288,1
V1J3R9,7.453232877,-3.699123288,1
V1J2P8,7.453315068,-3.694273973,1
V1J4J4,7.453424658,-3.696712329,1
V1J4J5,7.453534247,-3.69690411,1
V1J2R6,7.453808219,-3.695068493,1
V1J2R4,7.454054795,-3.694794521,1
V1J2T8,7.454547945,-3.697890411,1
V1J2S3,7.454712329,-3.696493151,1
V1J2P3,7.454876712,-3.693616438,1
