hruid2017,hrname_english,Gender,Age,Value,Age2,AgeCat
5900,British Columbia,M,<1,22997,1,1
5900,British Columbia,M,01-04,93211,1,1
5900,British Columbia,M,05-09,121341,5,1
5900,British Columbia,M,10-14,119586,10,2
5900,British Columbia,M,15-19,140451,15,2
5900,British Columbia,M,20-24,170968,20,3
5900,British Columbia,M,25-29,159609,25,3
5900,British Columbia,M,30-34,162416,30,4
5900,British Columbia,M,35-39,155936,35,4
5900,British Columbia,M,40-44,151311,40,5
5900,British Columbia,M,45-49,161823,45,5
5900,British Columbia,M,50-54,172367,50,6
5900,British Columbia,M,55-59,172667,55,7
5900,British Columbia,M,60-64,156654,60,7
5900,British Columbia,M,65-69,139068,65,8
5900,British Columbia,M,70-74,99527,70,8
5900,British Columbia,M,75-79,69574,75,9
5900,British Columbia,M,80-84,49268,80,9
5900,British Columbia,M,85-89,28898,85,10
5900,British Columbia,M,90+,13366,90,10
5900,British Columbia,F,<1,21760,1,1
5900,British Columbia,F,01-04,88300,1,1
5900,British Columbia,F,05-09,112777,5,1
5900,British Columbia,F,10-14,112424,10,2
5900,British Columbia,F,15-19,132226,15,2
5900,British Columbia,F,20-24,156161,20,3
5900,British Columbia,F,25-29,159389,25,3
5900,British Columbia,F,30-34,166826,30,4
5900,British Columbia,F,35-39,157628,35,4
5900,British Columbia,F,40-44,154187,40,5
5900,British Columbia,F,45-49,166603,45,5
5900,British Columbia,F,50-54,179295,50,6
5900,British Columbia,F,55-59,178878,55,7
5900,British Columbia,F,60-64,159977,60,7
5900,British Columbia,F,65-69,142469,65,8
5900,British Columbia,F,70-74,103484,70,8
5900,British Columbia,F,75-79,77160,75,9
5900,British Columbia,F,80-84,57639,80,9
5900,British Columbia,F,85-89,40789,85,10
5900,British Columbia,F,90+,28648,90,10
5900,British Columbia,T,<1,44757,1,1
5900,British Columbia,T,01-04,181511,1,1
5900,British Columbia,T,05-09,234118,5,1
5900,British Columbia,T,10-14,232010,10,2
5900,British Columbia,T,15-19,272677,15,2
5900,British Columbia,T,20-24,327129,20,3
5900,British Columbia,T,25-29,318998,25,3
5900,British Columbia,T,30-34,329242,30,4
5900,British Columbia,T,35-39,313564,35,4
5900,British Columbia,T,40-44,305498,40,5
5900,British Columbia,T,45-49,328426,45,5
5900,British Columbia,T,50-54,351662,50,6
5900,British Columbia,T,55-59,351545,55,7
5900,British Columbia,T,60-64,316631,60,7
5900,British Columbia,T,65-69,281537,65,8
5900,British Columbia,T,70-74,203011,70,8
5900,British Columbia,T,75-79,146734,75,9
5900,British Columbia,T,80-84,106907,80,9
5900,British Columbia,T,85-89,69687,85,10
5900,British Columbia,T,90+,42014,90,10
5911,East Kootenay,M,<1,358,1,1
5911,East Kootenay,M,01-04,1507,1,1
5911,East Kootenay,M,05-09,2058,5,1
5911,East Kootenay,M,10-14,1838,10,2
5911,East Kootenay,M,15-19,2179,15,2
5911,East Kootenay,M,20-24,1935,20,3
5911,East Kootenay,M,25-29,2055,25,3
5911,East Kootenay,M,30-34,2332,30,4
5911,East Kootenay,M,35-39,2527,35,4
5911,East Kootenay,M,40-44,2399,40,5
5911,East Kootenay,M,45-49,2465,45,5
5911,East Kootenay,M,50-54,2882,50,6
5911,East Kootenay,M,55-59,3337,55,7
5911,East Kootenay,M,60-64,3166,60,7
5911,East Kootenay,M,65-69,2961,65,8
5911,East Kootenay,M,70-74,2035,70,8
5911,East Kootenay,M,75-79,1428,75,9
5911,East Kootenay,M,80-84,931,80,9
5911,East Kootenay,M,85-89,522,85,10
5911,East Kootenay,M,90+,242,90,10
5911,East Kootenay,F,<1,353,1,1
5911,East Kootenay,F,01-04,1439,1,1
5911,East Kootenay,F,05-09,2016,5,1
5911,East Kootenay,F,10-14,1811,10,2
5911,East Kootenay,F,15-19,2011,15,2
5911,East Kootenay,F,20-24,1767,20,3
5911,East Kootenay,F,25-29,2014,25,3
5911,East Kootenay,F,30-34,2290,30,4
5911,East Kootenay,F,35-39,2335,35,4
5911,East Kootenay,F,40-44,2260,40,5
5911,East Kootenay,F,45-49,2416,45,5
5911,East Kootenay,F,50-54,2927,50,6
5911,East Kootenay,F,55-59,3280,55,7
5911,East Kootenay,F,60-64,3032,60,7
5911,East Kootenay,F,65-69,2720,65,8
5911,East Kootenay,F,70-74,1974,70,8
5911,East Kootenay,F,75-79,1360,75,9
5911,East Kootenay,F,80-84,996,80,9
